A	B	C	D	E	F	G
22.4	39	3.2	1943	7.7	1.9	2069
21.7	40	3.5	1987	7.4	1.18	3123
18.8	52	3.4	2000	8.7	0.49	2454
16.7	61	1.9	2000	9.1	0.05	2001
15.4	61	1.1	1959	7.9	0	1833
14.8	59	1	1740	6.8	0	1588
14.6	54	1.5	1596	5.3	0	1080
13.7	51	1.3	1651	3.7	0	778
12.9	62	0.6	1557	5.7	0	578
12.5	54	0.7	1500	3.4	0	385
12.1	64	0.8	1538	5.4	0	265
11.7	64	1.6	1578	5.1	0	161
11.3	64	1.2	1634	4.7	0	205
11.4	67	1	1600	5.4	0.04	530
12.5	61	1.3	1818	5.1	0.42	1390
15.2	50	1.6	1530	4.8	1.1	2081
17.6	30	1.1	1531	0	1.79	1226
19.9	27	2.7	1775	0.3	2.44	880
21.5	30	2.9	1779	3.1	2.92	922
22.1	36	5.3	1696	6.3	3.2	1087
23.3	35	3.7	1874	6.9	3.28	1078
23.2	36	4.9	1597	7.2	3.18	1059
23.5	36	3.2	1786	7.5	2.91	1174
23.5	36	4	1763	7.5	2.42	1455
23.4	38	2.7	1885	8.2	1.76	1863
22.6	39	2.8	1655	7.9	1.1	2825
21.1	44	2.6	1512	8.3	0.41	2334
20	46	2.6	1414	8	0.05	1902
19.3	50	1.7	1381	8.6	0	1838
18.6	54	2.3	1328	9	0	1678
18.1	56	1.6	1095	9.1	0	1087
17.6	57	1.8	943	8.9	0	831
16.9	61	1	844	9.3	0	610
16.1	70	0.6	787	10.6	0	437
15.4	71	0.5	780	10.1	0	286
14.8	71	0.4	700	9.5	0	188
14.3	75	0.6	635	9.9	0	201
13.8	74	0.7	644	9.2	0.05	531
14.4	66	1.1	704	8.1	0.42	1250
17.1	57	1.7	792	8.5	1.21	1996
19.5	44	1.3	995	6.9	1.88	1121
21.4	30	2.5	1730	3	2.53	819
23.1	30	2.5	1896	4.5	3.01	959
24.4	24	2.9	1811	2.5	3.28	1082
25.6	26	2.7	1747	4.6	3.36	1106
26	23	2.3	1923	3.2	2.92	1161
25.1	25	2.7	1959	3.6	2.2	1306
24.3	27	4.1	1892	4	1.78	1533
23.6	28	3.1	1844	4	1.26	2013
23.3	32	2.6	1772	5.6	1.05	2916
22	40	1.6	1658	7.7	0.47	2227
20.4	45	2	1457	8	0.06	1905
19.1	50	1.4	1378	8.4	0	1740
18.3	54	1.7	1394	8.8	0	1630
17.6	55	0.5	1362	8.4	0	1209
17	59	1.1	1299	8.9	0	987
16.2	63	0.7	1328	9.1	0	837
15.8	66	0.6	1204	9.4	0	572
15.3	69	0.5	1103	9.6	0	419
14.8	73	0.5	994	9.9	0	232
14.4	73	0.4	978	9.6	0	198
14.2	72	0.6	947	9.2	0.04	299
15	64	0.6	902	8.2	0.46	503
17.8	52	0.6	1094	7.8	1.18	763
20.6	43	1.1	1104	7.5	1.84	992
23.2	41	1.1	1440	9.2	2.45	1010
24.8	34	0.9	1439	7.8	2.92	1164
26.2	31	1.2	1161	7.7	3.18	1285
27.8	31	2	1326	9.1	3.29	1441
28.3	30	2.3	1025	9	3.14	1448
29.4	30	2	882	10	2.82	1575
29	31	2.9	889	10.1	2.26	1690
27.9	34	3.8	1259	10.5	1.73	1886
27	33	2.2	822	9.3	1.07	2020
24.9	46	3.1	1341	12.4	0.43	1985
22.3	50	2.7	1512	11.3	0.05	1909
21.7	58	1.3	1173	13	0	1851
21.2	60	1	1192	13.1	0	1683
20.7	63	0.8	1130	13.3	0	1330
20.1	65	1.6	1097	13.3	0	1089
19.8	61	1.4	943	12	0	799
19	62	1.8	974	11.5	0	555
18.5	62	0.8	1073	11	0	423
17.9	59	1.3	1261	9.7	0	208
17.6	0	0.8	1304	9.7	0	174
17.3	62	1.4	1293	9.9	0.03	234
17.6	0	1.4	1219	8.7	0.34	341
18.3	51	2	1366	7.9	0.7	608
19.5	43	1.5	1548	0	1.02	762
21.6	33	2	1697	0	1.86	821
22.3	33	1.8	1853	0	1.54	1004
23.4	38	2.8	1756	8.2	1.87	1404
24.3	37	2.3	1583	8.6	2.22	1579
24.2	36	4	1907	8.1	2.16	1730
23.9	37	2.6	1889	8.3	1.82	2019
24	36	1.6	1811	7.9	1.34	2242
23.5	32	3.2	1925	0	1.01	2307
23	36	2.8	1904	7.1	0.85	2267
21.7	38	2.1	1857	6.7	0.27	2207
20.6	41	2.3	1788	6.8	0.09	2044
19.5	46	1.8	1734	7.5	0	1729
18.6	50	1	1830	7.9	0	1374
17.9	53	1.9	1774	8.1	0	1071
17.3	55	0.7	1741	8.1	0	770
16.7	60	0.8	1806	8.8	0	440
16.5	58	0.3	1759	8.1	0	335
17.1	56	0.4	1583	8.2	0	185
17.2	0	0.4	1619	8.8	0	134
16.6	0	0.9	1361	9.7	0	247
16.2	0	0.5	1588	9.3	0.05	641
16.8	0	0.8	1387	8.9	0.36	1502
19.5	50	0.7	1329	8.7	1.19	2194
21.7	48	1.1	1806	10.2	1.92	1131
23.3	49	1.1	1881	11.9	2.46	828
25.1	45	0.9	1982	12.3	2.9	986
26.3	44	1.8	2000	13	3.24	1139
27.7	39	1.9	1882	12.4	3.33	1124
28.7	36	2.6	1853	12.1	3.21	1128
28.4	43	3.1	900	14.6	2.28	1258
28.1	43	3.4	845	14.3	2.32	1497
26.9	45	3.5	990	13.9	1.64	2060
26	39	2.7	1950	10.9	1.07	3245
24.4	44	2.8	1979	11.3	0.45	2656
23	49	2.4	1905	11.7	0.07	2252
21.8	50	2.1	1950	10.9	0	2140
21.1	54	0.6	2000	11.4	0	1881
20.9	53	1.6	1712	10.9	0	1247
20.6	54	2.6	1737	0	0	841
20.3	55	1.1	1756	0	0	721
20.2	56	2.3	1498	0	0	466
20	58	1.8	1279	11.4	0	285
19.8	60	1.9	1364	11.8	0	204
19.6	64	0.3	1483	12.5	0	252
19.5	64	0.4	1268	12.5	0.02	625
19.9	63	1.1	934	12.6	0.24	1427
20.5	66	1.7	1062	13.9	0.34	2234
21	67	1.1	1012	14.6	0.54	1192
21.6	68	1.6	980	15.4	0.83	893
23.1	63	2.6	949	15.6	1.68	949
23.1	64	2.6	1250	15.9	1.35	1184
24.2	58	1.5	1030	15.4	1.66	1103
25.5	53	2	981	15.2	2.5	1174
25.7	56	1.8	1112	16.2	1.71	1234
23.6	66	4.2	1208	16.8	0.89	1592
23.9	65	1.9	1425	16.9	1.02	2022
23.1	68	2.9	1506	16.8	0.42	2154
22.3	71	2.5	1268	16.7	0.14	477
20.1	88	2.2	572	18	0	422
19.9	93	1.4	416	18.7	0	1041
19.9	85	1.7	559	17.2	0	1121
19.5	89	1.7	304	17.6	0	742
19.1	84	1.6	540	16.3	0	507
18.8	84	0.5	488	16	0	570
18.7	83	0.6	469	15.7	0	422
18.4	86	0.6	360	16	0	238
18.3	84	0.9	409	15.5	0	167
18.4	84	0.6	352	15.6	0	239
18.6	84	0.7	316	15.8	0.01	505
18.9	85	0.6	289	16.3	0.12	1150
19.3	83	0.6	394	16.3	0.23	1937
19.8	79	1.3	405	16	0.45	1200
21.4	71	1.7	476	15.9	1.43	916
22.8	66	2.7	1270	16.1	2.76	975
23.2	64	3	1305	16	2.08	1187
24	56	2.6	1282	14.6	2.94	1134
24.3	58	2.9	1211	15.5	2.92	1119
24.3	52	3	1447	13.8	2.55	1280
24.7	47	3	1594	12.6	2.44	1571
24.1	41	2.2	1980	10	1.9	2166
23.6	42	2.1	2000	9.9	1.23	3251
21.2	52	3.6	1856	10.9	0.55	2650
19.1	64	2.6	1530	12.1	0.06	2224
18.2	69	2	1286	12.4	0	2074
17.3	76	1.7	801	13	0	1732
16.4	80	1.5	642	12.9	0	1158
15.8	82	1.6	546	12.7	0	844
15.5	82	1.5	513	12.4	0	610
15.2	84	0.7	485	12.5	0	470
15	84	1.3	473	12.3	0	328
14.8	85	0.7	478	12.2	0	188
14.4	82	1.2	708	11.3	0	265
14.3	82	0.7	653	11.2	0.05	646
14.9	71	0.9	651	9.6	0.47	1401
16.9	65	1.6	896	10.2	1.21	2281
18.8	59	1.6	1233	10.6	1.9	1277
20.8	54	1.2	1129	11.1	2.45	936
22	54	2.7	1189	12.2	2.89	979
23.7	44	1.3	1624	10.7	3.2	1134
25	47	2.5	1120	12.8	3.34	1151
25.9	43	2.7	1493	12.3	2.97	1164
26.9	37	2.7	1850	10.9	2.9	1280
27.3	38	2.9	1784	11.7	2.41	1550
27.2	42	2.9	1828	13.1	1.79	2047
26.4	42	3.1	1995	12.4	0.79	3119
25.2	53	3.1	1983	0	0.51	2534
23.1	58	2.9	1950	14.3	0.06	2164
21.9	60	2.5	1551	13.7	0	2070
21.1	59	2.1	1874	12.7	0	1900
20.5	62	2.2	1903	12.9	0	1343
20.1	63	1.1	1698	12.8	0	963
19.5	65	0.4	1662	12.7	0	776
19	72	1.4	1258	13.8	0	554
18.6	72	1.4	1340	13.4	0	366
18.1	76	1.8	561	13.7	0	265
17.8	75	1	1210	13.3	0	306
17.5	76	1.2	1161	13.2	0.05	672
18.1	64	0.6	923	11.1	0.47	1421
20.6	55	0.7	1200	11.2	1.21	2149
23.1	52	1.7	1012	12.6	1.88	1219
25.3	45	1.3	1371	12.5	2.45	862
26.8	38	2.6	1879	11.2	2.99	1036
28.2	34	2.6	1867	10.8	3.26	1076
29.4	33	2.2	1535	11.4	3.3	1093
29.6	31	3.7	1988	10.6	3.25	1071
29.9	36	3.3	1866	13.2	2.94	1235
29.9	34	3.2	1912	12.3	2.46	1488
29.2	35	4.3	1967	12.1	1.87	2123
28.5	36	3	1981	11.9	1.21	3088
26.8	35	1.9	2000	10	0.54	2505
25	39	2.8	2000	10	0.06	2163
23.5	44	1.6	2000	10.5	0	2066
22.7	44	1.5	2000	9.8	0	1991
21.8	49	1.6	1965	10.6	0	1440
20.9	53	1.4	1717	10.9	0	1165
20.2	57	0.4	1428	11.4	0	989
19.6	60	1.9	1200	11.6	0	677
18.9	63	1.5	1007	11.6	0	475
18.3	66	1.3	929	11.8	0	312
17.8	69	1.1	951	12	0	264
17.7	68	1.3	842	11.7	0.05	342
18.1	59	0.6	789	9.9	0.47	560
20.4	54	1	828	10.7	1.23	898
23.3	43	1.2	1257	10	1.91	1005
25.5	33	1.1	1815	0	2.52	1044
27.3	35	2.3	1537	10.4	2.98	1094
28.3	30	3	1675	9	3.29	1253
29.6	24	2.4	1873	6.8	3.42	1334
29.8	23	3.6	1945	6.4	3.32	1396
29.8	24	2.9	1939	7	3	1535
29.6	26	3.7	2000	8	2.58	1707
28.9	22	2.7	1965	5	1.93	2025
27.4	29	3.6	2000	7.7	1.19	2246
25.4	33	2.7	2000	7.9	0.54	2337
23.4	38	2.3	2000	8.2	0.06	2338
22.1	44	2.5	2000	9.2	0	2238
21.4	48	1.6	2000	9.9	0	1969
20.6	52	0.5	2000	10.3	0	1490
19.7	55	2	1986	10.3	0	1248
19.2	57	0.8	1985	10.4	0	902
18.6	60	1.8	1841	10.6	0	673
18	64	1.3	1560	11	0	437
17.4	65	0.8	1093	10.7	0	294
17.1	66	0.3	1370	10.6	0	193
16.9	62	0.4	1768	9.5	0.06	228
18	54	0.7	1997	8.5	0.51	423
20.3	47	1.5	1785	8.6	1.05	659
22.7	39	0.7	1880	8	1.91	831
24.8	34	1.3	1869	7.8	2.09	938
26.7	30	1.1	1782	7.6	2.83	977
28.7	27	1.7	1843	7.8	3.29	1134
29.4	24	2.7	1905	6.7	3.18	1393
29.8	26	2.2	1818	8.2	3.2	1399
30.7	21	2.5	1876	5.8	2.95	1556
30.4	28	3.6	1790	9.8	2.48	1834
29.5	29	4.1	1944	9.5	1.84	2131
29.3	25	2.4	1973	7.2	1.23	2349
27.4	29	2.4	2000	7.7	0.5	2514
25.3	32	2.2	1997	7.4	0.06	2460
24.2	32	2.1	2000	6.4	0	2173
23	38	1.2	1996	7.9	0	1741
22	44	0.8	1978	9.1	0	1274
21.4	45	1.4	1964	8.9	0	938
20.7	47	0.9	1987	8.9	0	596
20.1	49	0.8	1978	9	0	351
19.6	51	1	1923	9.1	0	244
19.4	56	1.2	1752	10.3	0	172
19.2	56	0.9	1772	10.2	0	299
18.9	53	0.3	1871	9.1	0.04	742
19.5	52	0.8	1818	9.3	0.46	1505
22.1	44	1.4	1435	9.2	1.16	2287
23.3	37	0.4	1336	7.7	1.28	1243
25.1	40	2.7	1076	10.5	2.37	970
26.1	37	2.4	1079	10.2	2.79	1008
26.3	36	3.1	1377	10	2.61	1152
27.4	30	2	1768	8.2	3.03	1085
26.5	43	3.9	1671	12.8	2.36	1148
25.5	43	2.9	1996	11.9	1.71	1249
25.5	43	3.2	1892	11.9	1.72	1671
24.9	46	2	1855	12.4	0.91	2190
24.4	48	1.9	1998	12.6	0.56	3380
23.9	51	2.3	2000	13.1	0.12	2788
23.4	43	1.1	2000	10	0.01	2508
22.6	62	1.1	1363	14.9	0	2377
22	64	1.8	1211	14.8	0	2000
21.4	68	2.7	972	15.2	0	1354
20.5	71	2.8	1204	15	0	927
20	67	0.7	1426	13.6	0	742
19.7	66	0.5	1591	13.1	0	448
19.1	72	0.6	1370	13.9	0	314
18.5	72	0.6	1168	13.3	0	214
18.1	73	0.5	1182	13.1	0	282
17.8	73	0.4	1188	12.8	0.04	733
18.8	64	0.7	1099	11.8	0.48	1602
21.5	58	1.1	1021	12.8	1.21	2322
23.5	51	1.4	1169	12.7	1.82	1344
25.5	43	1	1568	11.9	2.49	959
26.8	37	1.6	1639	10.8	2.91	974
28.2	35	1.2	1411	11.2	3.23	1111
28.6	34	2	1274	11.1	2.82	1058
28.9	34	2.7	1328	11.4	2.06	1120
29	38	3.4	749	13.2	2.12	1250
28.8	38	3.1	1027	13	2.14	1434
28.1	37	3.6	1346	12	1.56	2115
27.1	40	2.8	1811	12.3	1	3227
25.5	43	3.1	1760	11.9	0.41	2615
24	46	2.8	1896	11.6	0.06	2346
23.3	51	1.7	1654	12.5	0	2404
22.4	54	2.5	1778	12.6	0	2237
21.9	56	0.7	1898	12.7	0	1646
21.2	60	0.9	1789	13.1	0	1268
20.6	63	0.6	1670	13.3	0	1031
20.1	65	1	1435	13.3	0	792
19.6	68	1.7	1260	13.5	0	562
19.2	68	0.8	1181	13.1	0	332
18.7	73	1.4	1065	13.7	0	218
18.5	73	1.1	1028	13.5	0.06	351
19.3	63	0.7	916	12	0.46	536
21.2	59	1.2	794	12.8	1.13	799
22.9	56	2.3	763	13.6	1.74	925
24.3	53	2.9	949	14.1	2.37	1087
25.8	52	2.1	905	15.1	2.84	1152
27.3	51	2.8	703	16.2	3.16	1400
27.3	52	3.1	613	16.5	3.21	1444
27.4	50	3.5	615	16	3.01	1603
27.6	49	3.7	656	15.9	2.79	1674
27.9	47	2.8	824	15.5	2.36	1940
27.4	48	2.7	1084	15.4	1.8	2104
26.6	52	2.5	1368	15.9	1.09	2162
24.9	56	3.1	1469	15.5	0.51	2163
23.4	64	1.8	1144	16.1	0.07	2145
22.1	72	2.5	923	16.8	0	1935
20.8	78	1.8	763	16.8	0	1624
20.1	77	3.1	797	15.9	0	1251
19.6	82	1.7	628	16.4	0	978
19.1	86	1.8	522	16.6	0	606
18.8	88	0.3	500	16.7	0	418
18.4	88	1.6	465	16.3	0	275
18.1	88	1.8	458	16	0	191
17.8	91	2.2	393	16.3	0	288
18.1	88	1.1	272	16	0.03	716
18.6	85	2	307	16	0.16	1551
18.9	82	2.3	326	15.7	0.44	2317
20.5	73	1.6	364	15.4	1.23	1342
22	69	2	488	16	2.04	914
23.4	62	1.8	603	15.6	2.87	967
25	56	3	715	15.6	3.19	1099
26.7	47	2.4	806	14.4	3.26	1071
28.2	44	1.7	644	14.7	3.11	1116
29.3	41	2	609	14.6	2.63	1171
29.3	41	2	905	14.6	1.95	1442
28.2	51	3.3	879	17	1.73	2002
25.6	57	2.7	1217	16.4	0.96	3221
24	60	2.8	1379	15.7	0.38	2649
22.8	67	1.6	1219	16.3	0.06	2278
21.5	69	2.6	942	15.5	0	2161
20.9	71	1	763	15.4	0	1939
20.3	77	1.3	770	16.1	0	1290
19.1	82	2.2	874	15.9	0	926
18.8	84	1.7	658	16	0	769
18.6	84	2.5	619	15.8	0	525
18.6	83	2.9	889	15.6	0	365
18.5	82	2	1072	15.3	0	255
18.6	81	0.8	1205	15.2	0	299
18.8	78	2	1259	14.8	0.01	744
19.1	73	2	1300	14.1	0.3	1544
19.7	69	2	1448	13.8	0.54	2348
21.2	62	1.7	1384	13.6	1.45	1283
21.9	62	1.7	1664	14.2	1.36	1002
21.9	64	2.4	1359	14.7	1.03	1095
23.1	56	1.6	1222	13.8	1.71	1256
24.2	58	1.9	1015	15.4	1.87	1314
25	54	2.2	1146	15	1.86	1249
26.2	51	3.3	1104	15.2	2.87	1416
26.6	49	3.2	1200	15	2.35	1668
26.9	49	2.3	1210	15.2	1.72	2314
26.2	54	2.2	1183	16.1	0.88	3309
24.5	63	3.1	970	16.9	0.46	2797
22.6	71	1.8	856	17	0.11	2476
21.2	77	1.7	638	16.9	0	2337
20.5	78	0.9	550	16.5	0	2140
20	79	1.4	510	16.2	0	1672
19.7	83	1.5	390	16.7	0	1247
19.7	81	0.6	419	16.3	0	1029
19.4	84	0.7	382	16.6	0	732
19.1	84	0.6	421	16.3	0	535
19	83	0.4	473	16	0	352
19	85	0.4	467	16.4	0	262
19	84	0.5	440	16.2	0.05	381
20.2	73	1.1	708	15.1	0.41	616
21.9	62	0.9	1071	14.2	1.03	963
24	55	1.8	1411	14.3	1.81	1102
25.8	49	1.3	1442	14.2	2.42	1156
27.2	46	1.7	1301	14.5	2.88	1200
28.2	42	1.4	1563	14	2.84	1462
28.8	42	2	1438	14.6	2.38	1583
30.1	35	1.4	1583	12.9	2.53	1744
29.6	40	2.5	1546	14.5	1.96	1890
28.7	40	2.5	1474	13.7	1	2297
28.2	39	2.9	1653	12.9	0.7	2355
27.3	42	1.2	2000	13.2	0.19	1934
25.7	47	1.8	2000	13.5	0.04	1058
23.7	62	1.6	1402	15.9	0	246
22.4	72	1.5	1816	17	0	225
21	75	1.3	2000	16.3	0	776
20.7	66	1.6	2000	14.1	0	766
20.2	66	1.5	2000	13.6	0	483
19.7	71	1.2	1986	14.2	0	375
19.2	69	1.3	2000	13.3	0	162
18.6	78	0.8	1997	14.6	0	150
18.3	72	1.7	2000	13.1	0	174
18.4	70	1.4	2000	12.8	0	138
18.3	71	0.9	2000	12.9	0	216
18.4	68	0.6	2000	12.3	0.04	313
19	65	2	2000	12.2	0.28	619
19.2	65	1.4	2000	12.4	0.34	786
20.2	62	1.8	2000	12.6	0.82	942
21.3	56	1.5	1989	12.1	1.18	1074
23.2	50	2.2	1988	12.1	2.45	1442
24.2	48	1.2	1968	12.4	2.19	1752
24.1	51	1.1	2000	13.3	1.58	1985
24.8	49	1.2	2000	13.3	1.34	2182
24.8	51	1.6	2000	13.9	1.17	2333
24.6	52	1.3	2000	14	0.82	2431
24.1	53	1.3	2000	13.9	0.48	2367
23.4	55	1	2000	13.8	0.12	2267
22.8	55	1.3	2000	13.2	0.01	2300
22.1	55	1.5	2000	12.6	0	2026
21.5	55	1.8	2000	12	0	1634
20.9	56	1.5	2000	11.7	0	1191
20.3	58	1.4	2000	11.7	0	918
19.8	59	1.3	2000	11.5	0	555
19.2	60	1.5	2000	11.2	0	353
18.8	61	1.3	2000	11.1	0	232
18.8	60	1	2000	10.8	0	194
18.8	61	1.2	2000	11.1	0	324
18.6	61	0.8	2000	10.9	0.03	807
19.1	59	1.1	2000	10.8	0.38	1629
20.7	55	1.5	2000	11.3	1.23	2375
22.2	48	1.7	1889	10.6	1.77	1307
23.7	47	1.3	2000	11.7	2.67	992
23.2	52	1.4	2000	12.7	1.53	1107
23.2	52	1.2	2000	12.7	0.82	1204
23.7	49	1.2	2000	12.3	1.04	1033
23.9	47	1	2000	11.8	0.97	1075
22.2	60	1.3	1907	14	0.34	1240
22	60	1.8	2000	13.8	0.14	1220
20.7	72	3.4	2000	15.4	0.11	1475
19.8	80	3.9	2000	16.2	0.12	1491
19.4	85	1.2	1651	16.8	0.08	873
19.1	84	1.7	2000	16.3	0.04	1280
19	82	1	2000	15.8	0	1647
19	76	0.1	2000	14.6	0	1117
18.2	93	0.8	460	17	0	384
18	94	0.7	1906	17	0	470
17.7	92	0.9	1958	16.3	0	454
17.7	87	1.2	2000	15.5	0	385
17.5	87	0.5	1995	15.3	0	206
17.5	84	0.8	2000	14.7	0	144
17.2	87	0.6	2000	15	0	296
16.7	85	1	2000	14.1	0.03	740
17.1	77	1.5	1748	13	0.49	1573
19	67	1.1	1976	12.7	1.29	2495
21.1	60	0.9	1998	13	2.18	1317
22.1	53	1.1	1999	12	2.28	971
22.9	54	2.6	1959	13	2.56	1092
24	51	1.8	2000	13.2	2.29	1202
25.7	46	0.8	2000	13.2	3.18	1215
25.6	45	2.2	1961	12.7	1.39	1246
26.2	42	2.7	1977	12.2	1.59	1427
26.2	47	3.8	1996	13.9	2.45	1714
26.4	47	3	1976	14.1	1.76	2270
24.9	53	3.6	2000	14.6	1.28	3404
23.1	58	2.4	1997	14.3	0.59	2873
21.6	62	3.3	2000	13.9	0.09	2579
20.6	70	1.8	1986	14.9	0	2505
20	70	1	2000	14.3	0	2309
19.5	72	0.6	1989	14.3	0	1657
19.3	76	1.2	1968	14.9	0	1274
18.9	77	0.7	1987	14.7	0	1088
18.4	75	0.6	1986	13.8	0	847
18.5	73	1	1951	13.5	0	591
18.7	74	0.9	1933	13.9	0	421
18.6	76	0.4	1957	14.2	0	290
18.7	75	0.9	1923	14.1	0.06	416
19.4	69	0.3	1277	13.5	0.42	657
20.7	65	1.5	1004	13.8	0.97	959
22.6	59	1.6	1030	14.1	1.8	1111
23	57	2.2	1145	14	1.1	1269
24.5	51	1.5	1333	13.6	1.97	1478
24.5	56	2.3	1094	15.1	1.74	1747
24.9	52	1.8	1554	14.3	1.7	1834
26.6	50	2.4	1119	15.3	2.95	2088
25.5	50	2.2	1025	14.3	0.47	2288
25.8	50	1.7	1152	14.5	0.66	2474
25.6	57	3.3	919	16.4	0.87	2664
23.4	63	3.6	1245	15.9	0.5	2479
22.8	64	2.3	1444	15.6	0.45	2404
22.1	65	1.3	1611	15.2	0.09	2276
21.8	67	0	1485	15.3	0	2166
21.6	66	1.2	1438	14.9	0	1934
21.5	62	0.1	1827	13.9	0	1394
21.1	69	0.5	1086	15.1	0	1047
20.8	72	1	912	15.5	0	715
20.8	73	0.8	829	15.7	0	453
20.8	73	0.7	756	15.7	0	289
21	72	0.8	677	15.7	0	193
20.3	84	3.2	518	17.5	0	154
19.5	95	1.4	179	18.6	0	100
19.4	97	0.9	272	18.9	0	94
18.9	97	1.2	492	18.4	0.06	187
19.1	96	0.6	273	18.4	0.17	175
19.7	94	1.1	497	18.7	0.61	532
20.5	79	1.7	770	16.7	1.25	735
21.2	75	0.7	876	16.5	1.07	945
22.8	67	1.2	930	16.3	1.55	1056
23.8	62	1.2	1282	16	1.91	1153
24.6	57	1.8	1664	15.5	1.54	1292
25	56	0.7	1723	15.6	1.27	1550
24.6	57	1	1866	15.5	0.45	1934
24	61	1.5	1935	16	0.26	2962
23.6	63	0.6	1956	16.1	0.19	1856
22.6	74	1.2	1594	17.7	0.01	1557
22.2	72	1	1786	16.9	0	1807
21.8	72	1	1952	16.5	0	1737
21.6	68	0.8	2000	15.4	0	1295
21	70	0.9	2000	15.3	0	986
20.6	65	1.2	2000	13.7	0	717
20.1	67	1.1	2000	13.7	0	403
18.8	93	1	419	17.6	0	154
18	93	1.6	627	16.8	0	72
17.4	86	1.1	1820	15	0	161
17.2	83	1.3	2000	14.2	0.07	609
18.2	75	1.4	2000	13.6	0.56	1467
18.7	71	1.1	1992	13.3	0.61	2328
20.1	65	1.4	2000	13.3	0.93	1170
22	56	1.5	1989	12.8	1.91	1004
22.9	57	1.4	1918	13.9	2.24	1118
24.4	50	1.6	2000	13.2	3.07	1193
25.3	48	1.8	1935	13.4	3.42	1035
26.4	43	2.1	1944	12.8	3.23	1027
26.7	40	1.6	1995	11.9	2.42	1461
26.5	45	1.6	2000	13.5	1.91	1726
26.1	45	1.4	2000	13.2	1.26	2460
25.9	44	1.5	2000	12.7	1.36	2891
24.3	48	1.5	2000	12.5	0.59	2984
22.6	51	1.3	2000	11.9	0.06	2441
21.4	54	1.5	2000	11.6	0	2337
20.4	54	1.4	2000	10.7	0	2155
19.6	55	1.4	2000	10.3	0	1593
19	57	1.6	2000	10.2	0	1217
18.4	59	1.3	2000	10.2	0	1056
17.9	60	0.8	2000	10	0	764
17.4	61	1.2	2000	9.7	0	518
16.9	63	1	2000	9.8	0	317
16.6	65	1.2	2000	9.9	0	277
16.3	66	0.7	2000	9.9	0.05	381
17	60	1.1	1993	9.1	0.47	583
18.7	57	1	1956	9.9	1.05	892
20.4	54	1.5	2000	10.7	1.88	1144
21.8	46	0.9	1927	9.6	2.46	1166
23.4	46	1.6	1954	11.1	2.96	1330
24.8	43	1.2	1943	11.3	3.27	1525
26.2	37	1.2	1936	10.3	3.36	1704
27.1	40	1.8	1779	12.3	3.26	1783
27.8	41	1.6	1851	13.3	2.89	1861
28.3	41	2.6	1852	13.7	2.58	1991
28.4	43	2	1806	14.6	1.93	2383
28	46	2.3	1833	15.2	1.23	2451
27.2	48	1.4	1994	15.2	0.57	2475
25	60	2.4	1773	16.6	0.1	2497
23.7	64	1.7	1707	16.4	0	2435
22.8	69	1.7	1656	16.8	0	1995
22.1	73	1.6	1180	17	0	1615
21.5	76	1.4	1015	17	0	1394
20.9	79	2	932	17.1	0	929
20.5	76	1.1	994	16.1	0	755
19.9	80	1.6	741	16.3	0	491
19.4	82	0.9	531	16.2	0	304
19	85	0.8	567	16.4	0	238
18.9	83	0.3	576	15.9	0.05	324
19.6	75	0.9	884	15	0.42	475
21.1	70	0.3	766	15.4	0.9	715
22.5	66	1.2	605	15.8	0.97	944
23	66	1.1	516	16.2	0.83	953
23.6	63	0.7	523	16.1	0.93	1146
24.8	56	0.9	530	15.4	1.57	1422
25.7	52	1.1	639	15	1.81	1563
26.8	44	1.6	760	13.5	2.01	1709
27.3	51	2.6	598	16.2	2.4	1979
26.6	51	2.2	809	15.6	1.27	2235
25.6	58	3.3	865	16.7	0.66	2330
25	59	3.4	1324	16.4	0.54	2474
24.2	62	1.9	1225	16.4	0.39	2481
23.1	67	2.1	1060	16.6	0.03	2429
22.7	66	0.9	1069	16	0	2055
22.2	70	0.5	1056	16.4	0	1819
21.7	74	1.4	920	16.8	0	1323
21.3	74	1.4	963	16.4	0	917
21	74	0.5	990	16.1	0	547
20.7	76	0.3	920	16.3	0	436
20.5	77	0.5	865	16.3	0	202
20.2	78	0.7	884	16.2	0	164
20	80	0.3	824	16.4	0	383
20	78	0.4	752	16	0.05	779
20.6	76	0.5	786	16.2	0.3	1590
22.7	65	0.7	759	15.7	1.05	2357
24.7	59	1.1	616	16.1	1.8	1263
26.1	53	0.9	554	15.7	2.14	822
27.3	45	2.4	846	14.3	2.84	915
28.4	45	2.2	649	15.3	2.92	988
29.4	42	1.7	689	15.1	3.1	938
29.8	36	2	1382	13.1	2.63	997
30.5	34	2.8	1590	12.8	2.87	1177
30.5	34	2.9	1830	12.8	2.51	1401
29.5	36	3.7	1786	12.8	1.94	2040
29.2	35	2.7	1900	12.1	1.27	746
28.1	38	2.6	2000	12.4	0.63	1557
25.7	43	2.1	2000	12.1	0.12	2515
23.8	48	2	2000	12.1	0	1702
22.9	56	1.3	1927	13.6	0	1373
22.3	59	1.1	1892	13.8	0	1732
21.5	63	1	1740	14.1	0	1055
20.9	66	0.8	1528	14.3	0	766
20.2	71	1.2	1414	14.7	0	527
19.9	69	1.4	1179	14	0	369
19.7	73	1.6	848	14.7	0	268
19.4	77	0.8	831	15.2	0	317
